,pixel_0,pixel_1,pixel_2,pixel_3,pixel_4,pixel_5,pixel_6,pixel_7
383,0.6322314,0.6528926,0.58264464,0.6363636,0.6363636,0.7066116,0.74793386,0.78099173
362,0.71900827,0.72727275,0.7231405,0.71487606,0.7231405,0.73140496,0.73966944,0.76033056
140,0.18595041,0.3429752,0.5123967,0.57024795,0.6280992,0.61570245,0.6528926,0.661157
234,0.37190083,0.4876033,0.5661157,0.58677685,0.59090906,0.61570245,0.6570248,0.6652893
399,0.3264463,0.1446281,0.2603306,0.75206614,0.8471074,0.8512397,0.8471074,0.8471074
161,0.4752066,0.49173555,0.5,0.5123967,0.5247934,0.5289256,0.54545456,0.59090906
251,0.22727273,0.21900827,0.21487603,0.17355372,0.30991736,0.58677685,0.70247936,0.73966944
235,0.45454547,0.5206612,0.57024795,0.59090906,0.58264464,0.607438,0.6322314,0.6528926
36,0.61157024,0.661157,0.6859504,0.70247936,0.7066116,0.6983471,0.71900827,0.73966944
141,0.4090909,0.5,0.6198347,0.61157024,0.6198347,0.60330576,0.677686,0.7231405
310,0.6363636,0.6528926,0.6694215,0.677686,0.6859504,0.70247936,0.6983471,0.70247936
269,0.5,0.59090906,0.6280992,0.6694215,0.6859504,0.7066116,0.7231405,0.73966944
328,0.23553719,0.35123968,0.4338843,0.46694216,0.46694216,0.5,0.53305787,0.5371901
54,0.11570248,0.1446281,0.25619835,0.39256197,0.53305787,0.60330576,0.677686,0.6818182
261,0.6570248,0.677686,0.6983471,0.7066116,0.70247936,0.7107438,0.70247936,0.6818182
277,0.22727273,0.32231405,0.3966942,0.4090909,0.44214877,0.49173555,0.5123967,0.5247934
108,0.13636364,0.17768595,0.21487603,0.30165288,0.45867768,0.5371901,0.55785125,0.58264464
175,0.1446281,0.12396694,0.11570248,0.11157025,0.12396694,0.12809917,0.1322314,0.12396694
77,0.2892562,0.2892562,0.23553719,0.21900827,0.21900827,0.5206612,0.55785125,0.553719
344,0.4214876,0.46280992,0.4876033,0.5,0.5247934,0.5165289,0.5247934,0.5661157
301,0.3553719,0.46280992,0.5661157,0.6363636,0.6694215,0.6735537,0.6735537,0.6983471
389,0.446281,0.46694216,0.47107437,0.47933885,0.5206612,0.5495868,0.57438016,0.60330576
226,0.2520661,0.3305785,0.3966942,0.44214877,0.5123967,0.54545456,0.54545456,0.607438
395,0.19421488,0.2231405,0.3140496,0.5,0.6363636,0.7355372,0.79752064,0.8264463
298,0.4338843,0.46280992,0.5,0.5413223,0.5371901,0.53305787,0.5247934,0.53305787
194,0.46694216,0.4752066,0.45454547,0.49173555,0.49586776,0.4876033,0.57024795,0.59090906
283,0.2892562,0.23966943,0.22727273,0.5289256,0.77272725,0.8264463,0.8347107,0.838843
255,0.4876033,0.3305785,0.2520661,0.38842976,0.78512394,0.7892562,0.78099173,0.78512394
377,0.4214876,0.5123967,0.6198347,0.6570248,0.59090906,0.5371901,0.5041322,0.5165289
250,0.38429752,0.5082645,0.59090906,0.59917355,0.607438,0.6404959,0.6942149,0.7107438
224,0.58677685,0.70247936,0.73140496,0.73140496,0.74380165,0.77272725,0.7933884,0.8140496
169,0.45454547,0.21487603,0.10330579,0.16115703,0.49173555,0.6322314,0.6694215,0.7066116
109,0.29338843,0.26859504,0.26859504,0.2892562,0.22727273,0.40495867,0.5041322,0.553719
182,0.28099173,0.2892562,0.40082645,0.4876033,0.53305787,0.553719,0.607438,0.6404959
388,0.21487603,0.28512397,0.42975205,0.47107437,0.53305787,0.5495868,0.58264464,0.6363636
150,0.3305785,0.30578512,0.3305785,0.35123968,0.42561984,0.5,0.60330576,0.6322314
5,0.5206612,0.53305787,0.5413223,0.5785124,0.62396693,0.6404959,0.6487603,0.6404959
398,0.28512397,0.29338843,0.29752067,0.29338843,0.21900827,0.10743801,0.3429752,0.5082645
208,0.13636364,0.1322314,0.12396694,0.11983471,0.11157025,0.12809917,0.1322314,0.14049587
204,0.3140496,0.29752067,0.2768595,0.22727273,0.19421488,0.16115703,0.13636364,0.12809917
37,0.37603307,0.35950413,0.29338843,0.12396694,0.3140496,0.58264464,0.60330576,0.6198347
103,0.24380165,0.30578512,0.37190083,0.6363636,0.70247936,0.6983471,0.71487606,0.74793386
65,0.56198347,0.6652893,0.6983471,0.6983471,0.73140496,0.7231405,0.72727275,0.75206614
276,0.38429752,0.58264464,0.7107438,0.78099173,0.8347107,0.8471074,0.8471074,0.8553719
3,0.13636364,0.14049587,0.18595041,0.28099173,0.3181818,0.36363637,0.4090909,0.41735536
138,0.15289256,0.18181819,0.2520661,0.33471075,0.37603307,0.4090909,0.4338843,0.45454547
97,0.2520661,0.21900827,0.22727273,0.27272728,0.3181818,0.38842976,0.45867768,0.5041322
14,0.6694215,0.6363636,0.6487603,0.6859504,0.7107438,0.76033056,0.76859504,0.8057851
257,0.1322314,0.07438017,0.09917355,0.2892562,0.41322315,0.49586776,0.5123967,0.58677685
60,0.5,0.5371901,0.5289256,0.5247934,0.553719,0.607438,0.6404959,0.6528926
222,0.78099173,0.7768595,0.77272725,0.76859504,0.7768595,0.7768595,0.78512394,0.78512394
346,0.37603307,0.40082645,0.41322315,0.45867768,0.49173555,0.56198347,0.6280992,0.6652893
146,0.553719,0.607438,0.6363636,0.6487603,0.6528926,0.6487603,0.6735537,0.71487606
28,0.42975205,0.5165289,0.6735537,0.75206614,0.77272725,0.76859504,0.78099173,0.80991733
279,0.4338843,0.5206612,0.5041322,0.5247934,0.5785124,0.5785124,0.59917355,0.607438
167,0.55785125,0.6363636,0.6735537,0.6818182,0.6735537,0.6942149,0.72727275,0.73966944
330,0.42975205,0.45867768,0.5495868,0.62396693,0.6735537,0.71487606,0.7231405,0.7107438
192,0.1446281,0.21900827,0.3264463,0.47107437,0.57024795,0.6446281,0.677686,0.7107438
319,0.28512397,0.21900827,0.18181819,0.3140496,0.38842976,0.41322315,0.43801653,0.45867768
239,0.23553719,0.2603306,0.39256197,0.6322314,0.8264463,0.8264463,0.8140496,0.822314
0,0.1983471,0.23553719,0.35123968,0.4090909,0.4214876,0.42975205,0.5,0.5289256
245,0.37190083,0.42975205,0.47107437,0.5165289,0.5371901,0.5661157,0.6198347,0.6322314
206,0.7231405,0.7231405,0.72727275,0.73140496,0.7355372,0.74380165,0.7644628,0.76859504
184,0.21900827,0.23553719,0.2520661,0.3264463,0.39256197,0.553719,0.71487606,0.71487606
173,0.5123967,0.56198347,0.60330576,0.6570248,0.6818182,0.6983471,0.7231405,0.75206614
273,0.70247936,0.74380165,0.77272725,0.77272725,0.7644628,0.77272725,0.7933884,0.8057851
254,0.5082645,0.5082645,0.5082645,0.5413223,0.58677685,0.61570245,0.61157024,0.62396693
130,0.49586776,0.4876033,0.62396693,0.7231405,0.446281,0.4876033,0.6859504,0.8016529
94,0.2520661,0.24380165,0.23966943,0.30165288,0.35950413,0.47933885,0.75206614,0.8264463
337,0.45454547,0.47107437,0.5123967,0.55785125,0.59504133,0.6404959,0.6818182,0.70247936
163,0.17768595,0.22727273,0.20661157,0.30991736,0.4752066,0.5413223,0.5413223,0.57024795
176,0.38842976,0.49173555,0.5495868,0.59504133,0.6404959,0.661157,0.69008267,0.7107438
372,0.607438,0.6652893,0.6983471,0.7355372,0.7231405,0.73140496,0.75206614,0.76033056
238,0.13636364,0.10743801,0.09090909,0.11570248,0.11570248,0.11983471,0.18181819,0.41735536
47,0.23966943,0.24793388,0.32231405,0.3181818,0.446281,0.7066116,0.8305785,0.8471074
113,0.28099173,0.3140496,0.35950413,0.38016528,0.39256197,0.42561984,0.46280992,0.5
122,0.58677685,0.59504133,0.6818182,0.6942149,0.71487606,0.6983471,0.71487606,0.72727275
88,0.78099173,0.8181818,0.8305785,0.8347107,0.8429752,0.8429752,0.8264463,0.8016529
30,0.40082645,0.49586776,0.57024795,0.6322314,0.6487603,0.6404959,0.661157,0.6363636
