order_item_id,order_id,product_id,quantity,unit_price,discount
1,1,35,2,482.46,0.0
2,2,175,1,37.24,0.0
3,3,22,1,1492.69,0.05
4,3,8,3,410.45,0.0
5,4,47,3,2343.1,0.0
6,4,104,2,276.16,0.0
7,4,44,1,633.94,0.0
8,5,152,3,38.17,0.0
9,6,131,1,602.2,0.05
10,6,147,1,462.52,0.0
11,7,62,1,759.59,0.0
12,7,12,1,899.67,0.0
13,8,27,1,526.29,0.0
14,8,137,1,641.9,0.0
15,9,30,2,2294.13,0.1
16,9,116,1,351.25,0.0
17,10,14,1,281.59,0.0
18,10,67,1,755.51,0.0
19,10,100,1,92.31,0.0
20,10,117,1,331.2,0.0
21,11,114,1,233.3,0.0
22,11,138,1,569.79,0.0
23,12,5,1,983.84,0.1
24,12,80,1,299.0,0.1
25,12,118,1,227.27,0.1
26,13,54,1,913.58,0.0
27,13,105,1,432.62,0.0
28,14,22,2,1492.69,0.0
29,14,171,1,41.81,0.05
30,14,36,1,1805.42,0.0
31,15,106,1,347.14,0.0
32,15,20,2,1259.83,0.0
33,15,113,1,24.88,0.05
34,15,7,1,1203.99,0.0
35,16,153,1,58.82,0.0
36,17,158,2,28.13,0.0
37,17,47,1,2343.1,0.0
38,17,28,1,784.32,0.0
39,18,17,2,1330.67,0.0
40,18,24,1,496.62,0.0
41,18,170,1,27.31,0.1
42,19,16,1,1438.96,0.2
43,19,43,1,1099.47,0.05
44,20,54,1,913.58,0.0
45,20,24,1,496.62,0.1
46,20,7,1,1203.99,0.0
47,20,17,1,1330.67,0.05
48,21,109,2,214.58,0.1
49,21,60,2,228.38,0.0
50,22,6,2,580.13,0.0
51,23,164,1,30.98,0.0
52,24,169,1,43.99,0.1
53,24,1,1,231.51,0.0
54,24,167,1,60.83,0.05
55,24,104,1,276.16,0.0
56,25,170,1,27.31,0.05
57,25,9,1,893.38,0.1
58,26,113,1,24.88,0.1
59,26,67,2,755.51,0.0
60,26,100,1,92.31,0.05
61,27,107,1,206.43,0.0
62,28,45,2,1559.3,0.05
63,28,153,1,58.82,0.0
64,28,134,2,448.79,0.05
65,28,88,2,46.08,0.05
66,29,80,1,299.0,0.0
67,30,43,1,1099.47,0.0
68,30,53,1,656.09,0.0
69,31,57,1,714.19,0.1
70,31,42,1,926.35,0.0
71,32,91,1,261.69,0.0
72,33,167,1,60.83,0.0
73,33,2,2,240.32,0.0
74,34,164,1,30.98,0.0
75,35,32,1,856.17,0.1
76,36,28,1,784.32,0.0
77,36,46,1,1831.34,0.05
78,37,88,3,46.08,0.0
79,38,5,1,983.84,0.2
80,38,103,2,220.54,0.1
81,39,46,1,1831.34,0.15
82,39,146,2,78.96,0.0
83,40,110,1,301.79,0.0
84,41,124,1,394.12,0.1
85,42,97,1,274.08,0.0
86,42,82,1,159.8,0.0
87,43,45,1,1559.3,0.05
88,43,48,1,775.66,0.2
89,44,28,2,784.32,0.0
90,44,8,1,410.45,0.0
91,45,73,2,264.34,0.0
92,46,107,1,206.43,0.0
