payment_id,order_id,amount,payment_date,payment_method,status
1,1,964.92,2026-01-16T02:02:35,paypal,completed
2,2,37.24,2025-11-03T18:11:57,card,completed
3,3,2649.41,2024-08-19T03:28:19,card,pending
4,4,8215.56,2024-07-30T01:32:57,paypal,completed
5,5,114.51,2024-02-29T20:38:09,card,completed
6,6,1034.61,2024-08-02T02:42:24,card,refunded
7,7,1659.26,2026-05-29T19:46:16,card,completed
8,8,1168.19,2025-06-06T11:27:00,transfer,completed
9,9,4480.68,2025-03-05T14:30:05,paypal,completed
10,10,1460.61,2024-05-19T08:45:19,paypal,failed
11,11,803.09,2025-04-29T19:40:52,card,completed
12,12,1359.1,2025-12-05T02:51:19,card,completed
13,13,1346.2,2026-04-02T03:33:23,card,completed
14,14,4830.52,2024-11-11T22:02:00,card,completed
15,15,4094.43,2024-10-21T09:57:05,card,refunded
16,16,58.82,2025-03-12T20:08:07,bizum,refunded
17,17,3183.68,2025-12-22T21:19:51,bizum,completed
18,18,3182.54,2024-06-10T08:58:22,paypal,completed
19,19,2195.66,2025-07-09T05:36:54,card,completed
20,20,3828.66,2026-01-05T14:11:08,card,completed
21,21,843.0,2024-08-03T00:11:20,card,completed
22,22,1160.26,2024-09-25T09:49:18,transfer,completed
23,23,30.98,2024-02-06T15:41:29,paypal,completed
24,24,605.05,2024-03-17T14:51:23,paypal,completed
25,25,829.99,2025-12-12T20:10:42,transfer,completed
26,26,1621.11,2025-11-26T11:48:43,bizum,refunded
27,27,206.43,2024-10-01T10:37:33,card,completed
28,28,3961.74,2026-06-25T03:05:01,card,completed
29,29,299.0,2025-05-17T06:10:27,bizum,completed
30,30,1755.56,2025-03-06T05:03:18,paypal,completed
31,31,1569.12,2025-09-16T05:18:47,transfer,completed
32,32,261.69,2025-02-14T10:02:50,card,completed
33,33,541.47,2026-01-26T02:48:02,card,pending
34,34,30.98,2024-11-09T08:58:41,card,refunded
35,35,770.55,2025-06-20T22:27:08,card,completed
36,36,2524.09,2025-01-05T11:05:32,transfer,completed
37,37,138.24,2025-07-27T22:34:49,card,completed
38,38,1184.04,2025-06-15T12:11:14,bizum,pending
39,39,1714.56,2024-10-27T23:42:12,card,completed
40,40,301.79,2024-12-20T07:18:46,card,pending
41,41,354.71,2025-05-11T06:28:03,card,completed
42,42,433.88,2024-05-24T23:02:35,card,completed
43,43,2101.86,2026-06-11T13:41:30,paypal,completed
44,44,1979.09,2024-05-04T20:31:45,card,completed
45,45,528.68,2024-10-19T19:51:56,card,completed
46,46,908.71,2024-10-01T16:48:25,paypal,completed
47,47,1364.54,2025-06-27T02:31:04,card,completed
48,48,407.7,2025-05-05T23:03:32,card,completed
49,49,54.65,2024-10-08T09:11:59,card,completed
50,50,2135.85,2026-03-26T13:43:32,paypal,completed
51,51,1460.54,2024-02-16T21:11:55,bizum,completed
52,52,656.09,2025-08-30T15:13:47,paypal,completed
53,53,2437.41,2026-05-23T19:32:53,bizum,completed
54,54,4783.5,2025-04-22T12:55:31,card,completed
55,55,2021.52,2026-05-02T20:30:22,card,completed
56,56,131.97,2024-04-04T00:23:02,transfer,completed
57,57,2052.49,2025-05-17T18:53:19,transfer,completed
58,58,2856.77,2024-10-19T08:02:51,paypal,completed
59,59,3073.85,2024-03-15T21:25:47,card,completed
60,60,775.24,2025-10-12T00:53:39,card,completed
61,61,1184.4,2024-09-14T03:07:33,card,completed
